communityName,state,population,householdsize,agePct12t21,agePct12t29,agePct16t24,agePct65up,medIncome,perCapInc,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctUnemployed,PctEmploy,murders,murdPerPop,rapes,rapesPerPop,robberies,robbbPerPop,assaults,assaultPerPop,burglaries,burglPerPop,ViolentCrimesPerPop,nonViolPerPop
SanPablocity,CA,25158,2.89,13.65,28.82,13.23,9.44,25479,10505,4689,19.02,14.03,10.16,55.94,12,44.42,21,77.73,309,1143.81,362,1340,478,1769.39,2605.96,8839.53
BowlingGreencity,KY,40641,2.54,21.51,36.83,23.96,11.5,20043,11760,8759,23.91,15.28,6.93,58.62,3,6.54,36,78.53,58,126.52,269,586.8,582,1269.58,798.39,5508.05
PineBluffcity,AR,57140,2.74,16.51,28.17,14.68,13.38,19143,9530,15283,27.71,14.49,11.05,51.37,16,27.26,59,100.51,261,444.61,531,904.55,1754,2987.92,1476.93,7371
NewUlmcity,MN,13132,2.53,14,25.03,12.83,14.57,25797,11907,863,6.84,16.28,3.67,65.62,0,0,,,0,0,9,65.82,67,489.98,,2720.49
Maplewoodcity,MN,30954,2.69,12.07,25.43,11.42,10.45,37856,16459,1874,6.22,4.4,4.17,68.12,0,0,,,27,79.7,37,109.22,226,667.12,,5933.23
Enfieldtown,CT,45532,2.85,11.86,27.51,12.36,9.76,44635,16723,1262,2.89,6.55,4.01,68.24,1,2.19,0,0,23,50.46,17,37.29,282,618.62,89.94,3130.42
Glendalecity,CA,180038,2.62,12.04,26.68,12.37,11.54,34372,17966,25484,14.37,11.54,6.95,60.04,9,5.02,30,16.72,355,197.91,277,154.42,1596,889.74,374.07,4246.34
Worthingtoncity,OH,14869,2.67,13.71,20.33,9.48,12.38,49851,22647,340,2.35,1.33,2.57,66.85,0,0,2,13.24,10,66.18,5,33.09,99,655.15,112.5,3540.47
Arlingtoncity,TX,261721,2.6,14.18,32.78,15.14,4.58,35048,16239,21272,8.21,3.71,4.99,74.65,7,2.39,146,49.94,710,242.88,1396,477.55,3977,1360.48,772.77,6171.23
Plymouthcity,MN,50889,2.77,13.13,26.94,12.19,4.77,51314,21908,1681,3.36,1.57,3.24,78.05,0,0,,,13,21.41,55,90.6,271,446.39,,3131.33
NewYorkcity,NY,7322564,2.6,13.06,27.46,13.09,11.62,29823,16281,1384994,19.29,14.1,8.98,56.12,1946,26.59,2818,38.5,86001,1174.95,62778,857.68,99207,1355.37,2097.71,6164.95
Marinacity,CA,26436,3.34,16.16,37.22,19.09,4.13,29043,11338,2328,9.67,5.8,3.5,75.2,2,12.89,9,58.03,42,270.79,47,303.03,226,1457.12,644.75,5338.49
Lebanoncity,NH,12183,2.36,11.29,26.87,12.2,11.28,32221,15012,728,6.07,5.83,3.14,69.56,0,0,1,8.07,0,0,17,137.13,64,516.25,145.2,5461
Rockledgecity,FL,16023,2.63,11.91,23.09,10.33,13.65,34934,15534,904,5.75,4.07,5.39,64.92,0,0,10,55.52,19,105.48,72,399.71,226,1254.65,560.71,5618.16
Rogerscity,AR,24692,2.54,12.84,25.81,11.93,14.62,26198,12779,2120,8.72,8.18,3.31,63.1,0,0,9,29.18,10,32.42,44,142.64,233,755.34,204.23,4869.19
Bellairecity,TX,13842,2.35,8.23,18.3,6.98,13.57,45892,24462,460,3.33,2.73,2.69,70.55,1,6.69,2,13.38,24,160.6,25,167.29,149,997.06,347.97,3693.79
ElCajoncity,CA,88693,2.7,13.77,30.92,15.15,9.65,28108,13518,11184,12.92,6.71,7.07,61.86,8,8.59,42,45.1,243,260.94,540,579.87,1368,1469.01,894.51,7091.62
MosesLakecity,WA,11235,2.6,14.59,25.62,12.02,13.36,23258,10965,1680,15.28,12.99,6.5,57.18,2,14.57,20,145.72,3,21.86,132,961.75,217,1581.06,1143.9,9143.9
WestMemphiscity,AR,28259,2.86,16.26,28.79,13.83,9.53,22052,10009,6410,22.94,15.88,8.34,59.29,7,25.12,24,86.13,121,434.25,50,179.44,197,707.01,724.95,4421.48
Eunicecity,LA,11162,2.8,15.43,26.03,12.04,12.78,14874,7635,4173,38.27,23.94,13.93,42.8,0,0,2,17.4,9,78.28,160,1391.67,213,1852.66,1487.34,4722.97
Laredocity,TX,122899,3.84,19.93,33.12,16.79,7.32,18395,6981,45126,37.29,36.26,11.24,51.36,21,13.75,7,4.58,163,106.72,862,564.37,1720,1126.13,689.42,5948.83
Amsterdamcity,NY,20714,2.36,11.35,23.13,11.19,21.15,22166,11991,2756,13.5,12.54,8.97,52.65,0,0,3,14.98,3,14.98,4,19.97,128,639.11,49.93,
Gorhamtown,ME,11856,3.03,20.11,31.45,19.01,8.63,36618,14049,436,4.05,3.9,5.73,67.68,0,0,0,0,0,0,2,16.72,34,284.28,16.72,919.73
RockSpringscity,WY,19050,2.67,15.43,26.48,11.73,8.64,34372,14767,1661,8.87,5.6,5.13,67.09,1,4.92,14,68.92,6,29.54,111,546.45,213,1048.59,649.83,5764.78
Oakdalecity,CA,11961,2.71,13.37,26.84,13.03,12.98,27230,11994,1486,12.63,12.32,10.34,54.22,0,0,4,28.91,7,50.6,37,267.46,161,1163.8,346.97,5255.17
Hendersoncity,NC,15655,2.6,14.42,26.09,12.94,15.02,18499,10912,3699,24.07,21.8,7.91,57.23,6,36.77,3,18.38,73,447.33,207,1268.46,628,3848.28,1770.94,11428.4
Norcocity,CA,23302,4.17,14.06,30.74,14.58,4.44,51594,15142,973,5.34,4.93,5.1,48.14,1,4.04,4,16.15,29,117.11,117,472.5,279,1126.73,609.81,4458.44
Greenvillecity,MS,45226,2.95,17.15,28.12,13.63,10.96,18060,9081,14232,31.96,18.51,12.45,51.79,16,35.96,34,76.4,66,148.31,133,298.88,1745,3921.35,559.55,10379.78
SanCarloscity,CA,26167,2.37,9.03,19.36,8.48,14.25,54658,28161,713,2.73,2.43,2.43,69.33,1,3.54,1,3.54,24,85.06,32,113.41,153,542.25,205.56,2810.46
SanAngelocity,TX,84474,2.76,16.42,29.95,16.25,11.57,23534,11353,14737,18.5,14.84,7.71,61.16,8,8.85,43,47.57,39,43.14,373,412.63,842,931.46,512.19,
Barbertoncity,OH,27623,2.49,13.24,25.31,12.11,15.24,21688,10366,4626,16.93,8.47,8.67,51.76,0,0,7,25.08,22,78.84,176,630.69,206,738.19,734.61,4672.83
Pontiaccity,MI,71166,2.87,16.56,32.21,16.08,7.82,21962,9847,18222,26.67,12.04,14.4,51.07,19,27.27,,,423,607.12,1420,2038.09,1470,2109.86,,6269.29
Suffolkcity,VA,52141,2.82,13.7,25.39,11.57,11.94,26125,11831,8864,17.28,17.59,7.06,57.9,9,16.22,37,66.7,160,288.42,304,547.99,646,1164.49,919.33,5227.58
Martinsvillecity,VA,16162,2.36,12.16,22.94,10.7,17.94,22446,13742,2504,15.61,18.52,5.68,57.4,2,12.52,7,43.81,22,137.7,78,488.2,164,1026.48,682.23,7554.61
Bricktownship,NJ,66473,2.66,12.06,23.58,10.75,15.97,38742,16523,2470,3.74,5.59,5.55,60.08,2,2.92,9,13.15,28,40.9,51,74.5,415,606.2,131.47,2543.13
LagunaBeachcity,CA,23170,2.09,8.08,20.23,9.15,12.36,53419,40537,1411,6.14,2.39,1.84,72.93,0,0,5,20.8,22,91.5,164,682.11,412,1713.6,794.41,5939.36
Robstowncity,TX,12849,3.59,18.8,30.03,14.87,10.44,16180,5740,4767,37.04,42.31,12.26,44.19,1,7.38,1,7.38,3,22.15,52,383.99,302,2230.1,420.91,5095.26
Wyomingcity,MI,63891,2.64,13.2,30.39,13.67,9.04,31103,13271,4498,7.07,6.7,5.13,70.23,1,1.55,,,116,180.07,243,377.21,625,970.18,,4869.53
Hastingscity,MN,15440,2.86,13.92,27.4,12.29,8.39,36091,14482,746,5,7.84,5.18,69.13,0,0,,,2,12.1,16,96.82,120,726.17,,3207.26
Paragouldcity,AR,18540,2.49,14.13,25.52,12.37,15.18,19985,10444,3398,18.82,20.78,7.01,55.48,1,4.65,9,41.81,2,9.29,8,37.16,134,622.47,92.91,3121.66
BeverlyHillscity,CA,31971,2.2,11.38,22.12,10.53,17.88,54348,55463,2105,6.6,3.6,3.8,60.76,1,3,8,24.03,281,843.97,72,216.25,472,1417.63,1087.25,7394.5
UniversityHeightscity,OH,14790,2.87,20.62,30.27,20.39,14.02,43376,18705,373,2.9,3.26,4.65,60.44,0,0,2,13.97,14,97.77,18,125.71,62,432.99,237.45,1948.46
Marioncity,OH,34075,2.59,14.23,26.63,12.85,11.68,22439,10365,5667,16.85,9.68,10.98,55.48,1,2.88,16,46.03,37,106.44,20,57.53,587,1688.58,212.87,6403.36
Toledocity,OH,332943,2.54,14.78,28.65,14.52,12.25,24819,11894,62426,19.09,8.57,9.92,55.56,45,13.89,357,110.19,1594,492.02,1195,368.86,5502,1698.29,984.96,7910.25
Philadelphiacity,PA,1585577,2.63,13.92,28.02,14.12,13.74,24603,12091,313374,20.27,11.29,9.62,52.77,439,28.7,785,51.31,11531,753.74,6821,445.86,15117,988.14,1279.6,5253.14
Newtoncity,MA,82585,2.8,14.34,28.52,15.99,12.95,59719,28840,3335,4.33,3.72,3.94,67.36,1,1.17,11,12.82,27,31.46,181,210.9,479,558.12,256.34,2556.39
OrmondBeachcity,FL,29721,2.34,10.52,18.8,9.27,22.59,32704,18875,1977,6.72,4.72,4.21,51.11,0,0,10,31.02,24,74.45,12,37.23,293,908.95,142.7,4091.83
Lynchburgcity,VA,66049,2.63,17.79,29.84,18.19,14.33,23726,12657,9889,16.45,13.61,5.97,56.27,3,4.47,45,67,107,159.32,351,522.63,560,833.83,753.42,4630.73
Clintoncity,MS,21847,2.92,17.83,30.86,16.52,7.45,36770,14677,1974,9.48,4.37,3.37,70.5,2,8.76,0,0,14,61.34,12,52.58,169,740.51,122.69,2721.06
Andersoncity,SC,26184,2.49,14.9,26.78,14.23,17.55,19433,10866,4922,19.89,18.33,7.46,54.48,8,26.85,15,50.34,134,449.74,394,1322.37,568,1906.36,1849.3,6474.24
Mesquitecity,TX,101484,2.83,14.14,28.92,12.52,4.73,35934,14115,7771,7.73,5.36,4.74,74.16,5,4.32,33,28.5,137,118.34,481,415.48,,,566.64,
ParkForestvillage,IL,24656,2.7,13.67,26.55,11.62,9.97,36995,14756,1174,4.89,5.02,4.94,67.87,2,7.89,,,25,98.58,30,118.29,124,488.94,,3012.5
ChippewaFallscity,WI,12727,2.49,11.95,25.43,11.89,14.93,23056,11034,1323,11.12,15.8,6.85,55.78,0,0,2,14.83,1,7.42,4,29.66,50,370.81,51.91,3374.37
Beavercreekcity,OH,33626,2.88,14.91,23.52,11.5,8.14,49143,18362,1165,3.51,3.8,3.13,69.01,0,0,3,7.91,20,52.76,13,34.3,200,527.63,94.97,3498.22
Keenecity,NH,22430,2.67,19.96,32.9,21.18,12.62,31235,14246,1632,8.06,6.21,6.42,63.92,0,0,23,102.18,4,17.77,68,302.1,155,688.61,422.05,4567.06
Springfieldtownship,OH,13352,2.82,13.91,21.82,10.96,14.84,32713,14243,1116,8.79,8.16,5.41,55.46,0,0,15,37.91,38,96.04,126,318.45,324,818.86,452.4,3389.19
Swissvaleborough,PA,10637,2.16,9.99,23.83,10.25,18.45,23773,13164,1322,12.53,9.07,6.62,55.31,2,18.94,5,47.34,18,170.42,18,170.42,65,615.41,407.12,3739.82
Knoxvillecity,TN,165121,2.36,16.31,32.25,18.75,13.77,19923,12108,32189,20.8,12.59,7.11,55.4,14,8.14,102,59.32,596,346.59,2200,1279.37,2817,1638.17,1693.42,6179.34
Kernersvilletown,NC,10836,2.28,12.64,32.02,15.39,9.09,25649,13997,903,8.46,11.55,5.99,71.82,1,7.46,1,7.46,17,126.74,43,320.58,150,1118.32,462.24,5956.91
Bloomingtoncity,MN,86335,2.5,11.69,26.55,12.21,9.12,41736,20032,3154,3.7,2.51,3.28,74.28,4,4.65,,,65,75.59,103,119.79,715,831.52,,
ScotchPlainstownship,NJ,21160,2.79,11.38,23.62,10.91,12.65,58194,27093,313,1.49,4.57,3.75,67.53,1,4.61,3,13.82,12,55.27,9,41.45,102,469.79,115.14,2160.1
Newingtontown,CT,29208,2.6,11.37,23.38,11.09,15.64,45481,19668,513,1.79,8.71,3.44,67.54,0,0,4,13.68,3,10.26,16,54.72,144,492.44,78.65,3553.11
Moberlycity,MO,12839,2.46,14.38,25.65,12.85,16.85,20569,10475,2257,18.27,14.83,8.52,54.24,1,7.88,8,63.04,5,39.4,111,874.7,94,740.74,985.03,4767.53
Sandycity,UT,75058,3.86,19.8,28.26,11.74,3.14,43971,12840,3141,4.21,1.05,3.56,72.82,0,0,13,14.89,28,32.06,74,84.74,676,774.07,131.68,3715.75
Wheatoncity,IL,51464,2.9,15.12,26.56,13.98,8.11,52208,22433,2494,5.12,3.52,2.42,70.3,0,0,,,9,16.62,24,44.33,220,406.32,,2395.42
WhiteLaketownship,MI,22608,2.91,14.36,26.88,12.39,6.34,42549,16750,968,4.36,3.75,6.2,67.54,0,0,,,3,12.92,61,262.61,157,675.91,,3577.58
Chickashacity,OK,14988,2.49,13.84,25.38,12.24,16.31,18357,10377,3325,23.15,13.83,9.5,51.29,4,26.23,11,72.14,15,98.37,143,937.77,289,1895.21,1134.5,5292.15
Tucsoncity,AZ,405390,2.49,15.91,31.47,16.94,11.34,21748,11184,79287,20.16,9.36,8.12,58.52,44,9.78,314,69.78,894,198.68,3111,691.36,7363,1636.29,969.6,9943.53
Gallowaytownship,NJ,23330,2.94,17.84,34.05,18.86,6.76,41944,16302,927,4.35,5.04,4.1,69.92,1,4.19,5,20.94,10,41.87,44,184.24,266,1113.81,251.24,3668.03
Sweetwatercity,TX,11967,2.62,14.86,25.11,11.97,14.7,19157,9210,2689,23.02,19.73,8.51,53.98,1,8.19,7,57.36,9,73.75,97,794.82,214,1753.52,934.12,5735.82
Portsmouthcity,NH,25925,2.51,11.14,31.18,13.86,10.56,30591,15557,1659,6.68,3.63,5.12,69.93,0,0,31,148.32,14,66.98,34,162.67,171,818.14,377.97,4550.02
Hulltown,MA,10466,2.76,12.65,27.85,12.66,9.99,37683,16907,838,8.02,3.69,7.31,65.59,0,0,6,53.92,0,0,93,835.73,105,943.57,889.65,2039.9
Scotttownship,PA,17118,2.29,8.93,23.8,10.63,16.44,34644,18380,687,4.13,6.29,3.05,63.85,1,5.74,1,5.74,2,11.49,3,17.23,62,356.12,40.21,1654.22
Pittsfieldtownship,MI,17668,2.52,12.19,38.26,18.04,4.7,34639,16936,1522,9.33,3.49,3.78,71.33,0,0,,,43,236.86,50,275.42,256,1410.16,,8642.72
Duncanvillecity,TX,35748,2.86,16.21,26.78,12.34,6.32,41028,17060,1343,3.78,3.75,4.57,72.16,0,0,19,51.17,56,150.83,98,263.95,414,1115.06,465.96,5063.56
Mexicocity,MO,11290,2.46,12.46,22.35,10.15,19.43,23744,12249,1560,14.35,15.1,4.48,55.04,1,8.83,1,8.83,3,26.48,12,105.91,75,661.96,150.04,2338.92
NewProvidenceborough,NJ,11439,2.7,9.9,21.33,10.02,12.28,62420,29773,278,2.45,4.91,2.71,69.32,0,0,0,0,3,24.78,3,24.78,12,99.12,49.56,1032.55
Barnstabletown,MA,40949,2.47,10.8,21.74,10.33,18.13,33411,17376,2711,6.78,2.92,7.22,57,2,4.67,22,51.39,29,67.74,723,1688.82,609,1422.53,1812.62,3277.2
Rutherfordborough,NJ,17790,2.66,13.83,26.56,14.04,14.38,46499,20579,637,3.68,7.01,4.17,62.97,0,0,2,11.23,5,28.07,16,89.83,50,280.71,129.13,2094.09
Portlandcity,OR,437319,2.34,11.86,25.57,12.29,12.83,25592,14478,62058,14.53,5.62,6.16,62.61,58,12.65,479,104.44,2305,502.59,5603,1221.7,7845,1710.56,1841.38,9577.37
Manassascity,VA,27957,2.95,13.21,31.92,14.16,4.39,46674,18554,1028,3.79,6.16,3.3,77.22,0,0,10,31.06,55,170.84,32,99.4,141,437.98,301.31,4038.14
Torrancecity,CA,133107,2.53,11.6,25.37,11.61,10.78,47204,22095,6791,5.15,3.85,3.95,67.04,12,8.64,30,21.6,430,309.54,390,280.75,1582,1138.83,620.53,5352.95
SouthJordancity,UT,12220,4.32,21.23,28.04,12.06,3.71,43804,10626,392,3.21,1.7,3.21,70.81,0,0,2,11.57,3,17.35,28,161.92,126,728.66,190.84,3302.11
RedwoodCitycity,CA,66072,2.59,11.09,27.2,12.24,10.46,42962,20292,5328,8.3,8.12,3.82,69.14,3,4.4,15,22.02,106,155.59,371,544.58,513,753.02,726.59,4174.62
Lancastertownship,PA,13187,2.47,10.16,23.25,10.96,18.77,35855,18645,771,6.27,10.36,3.31,62.15,0,0,0,0,7,52.19,3,22.37,79,589.02,74.56,3183.72
Algonquinvillage,IL,11663,3.01,11.76,23.99,9.12,4.82,53665,19255,193,1.65,1.77,2.29,75.69,0,0,,,2,15.21,7,53.23,46,349.81,,1961.98
Sebastiancity,FL,10205,2.46,9.62,18.03,7.64,23.89,26654,12165,684,6.77,7.04,5.66,48.43,0,0,2,17,1,8.5,37,314.47,151,1283.36,339.96,3739.59
GrandForkscity,ND,49425,2.67,20.6,38.87,24.1,7.87,25456,11902,6526,14.48,7.24,5.08,66.75,0,0,19,37.7,14,27.78,28,55.55,234,464.26,121.02,5247.7
NewHaventown,CT,130474,2.66,17.06,34.55,19.17,10.81,25811,12968,25481,21.29,11.86,9.25,56.71,22,18.39,130,108.69,1238,1035.08,1154,964.85,3417,2856.93,2127.02,10988.76
Westwegocity,LA,11218,2.66,14.22,27.88,13.45,11.26,18095,8262,2657,23.81,28.57,8.37,50.95,0,0,4,36.38,34,309.2,51,463.81,142,1291.38,809.39,6620.59
Doltonvillage,IL,23930,2.87,14,24.66,11.79,12.41,36724,14063,1162,4.93,6.65,6.76,62.79,0,0,,,78,313.81,38,152.88,215,864.98,,6324.43
Munstertown,IN,19949,2.76,12.94,20.71,10.25,15.13,48483,21529,249,1.27,5.04,2.81,61.56,3,14.58,2,9.72,6,29.15,30,145.76,59,286.66,199.2,2992.91
Newberrytown,SC,10542,2.67,17.69,29.26,16.71,16.07,19063,9397,2468,25.22,18.7,9.13,51.53,0,0,5,47.14,15,141.42,142,1338.74,82,773.07,1527.29,5317.24
NorthTonawandacity,NY,34989,2.57,12.76,24.82,11.74,13.45,29576,12722,2113,6.07,7.31,5.64,63.82,1,3.04,1,3.04,9,27.38,17,51.71,177,538.42,85.17,2570.42
Redlandscity,CA,60394,2.75,14.97,27.56,13.53,10.33,37073,17825,5232,8.98,5.71,4.78,63.25,5,7.71,21,32.38,150,231.3,296,456.44,975,1503.47,727.83,4976.1
Avondalecity,AZ,16169,3.29,17,30.79,14.96,6.51,24292,8990,4493,28.22,27.72,11.09,55,1,4.68,9,42.11,23,107.61,134,626.93,601,2811.83,781.32,7265.84
Lafayettecity,CO,14548,2.7,11.14,24.93,9.09,5.29,34182,14405,1220,8.43,5.45,3.93,76.18,0,0,0,0,6,33.89,59,333.24,111,626.94,367.13,3885.91
Oshkoshcity,WI,55006,2.62,18.61,34.4,21.34,12.2,25168,11843,6325,12.63,8.38,4.82,61.2,5,8.82,19,33.52,7,12.35,57,100.56,479,845.07,155.25,5691.4
Tukwilacity,WA,11874,2.11,10.54,30.87,14.08,8.16,30141,15982,1103,9.33,4.32,4.77,72.35,3,23.46,41,320.61,70,547.39,95,742.88,301,2353.77,1634.34,24116.36
Dublincity,CA,23229,3.42,12.28,31.36,14.01,3.15,53710,17056,794,4.23,1.9,3.52,59.36,0,0,1,3.81,16,60.9,49,186.52,120,456.78,251.23,2561.76
Breacity,CA,32873,2.69,13.3,27.95,13.44,8.62,51253,21407,1160,3.55,4.6,3.31,72.58,3,8.61,5,14.35,51,146.36,69,198.01,309,886.76,367.33,5934.68
NorthAugustacity,SC,15351,2.45,13.39,28.11,12.4,11.49,32877,16134,1413,9.28,5.83,3.62,65.69,0,0,3,16.99,18,101.92,78,441.65,170,962.57,560.56,4218.33
Tallahasseecity,FL,124773,2.47,23.68,42.67,28.84,7.94,23453,13247,25518,22.32,5.59,5.56,63.45,9,6.63,137,100.91,790,581.91,1754,1292,3970,2924.3,1981.45,12349.83
Princetonborough,NJ,12016,3.68,35.5,53.13,43.59,9.15,43092,21551,687,9.64,7.05,3.21,57.12,0,0,0,0,4,33.55,6,50.33,97,813.69,83.89,5041.52
Menomoniecity,WI,13547,3.13,31.69,52.12,42.5,9.81,21392,9573,3066,28.82,12.93,7.56,54.07,0,0,2,13.29,2,13.29,2,13.29,108,717.66,39.87,6199.75
Sturgiscity,MI,10130,2.56,13.6,26.4,11.91,14.14,23642,11981,1176,11.86,10.41,5.25,60.57,0,0,,,2,19.08,21,200.38,57,543.89,,3673.66
Alpharettacity,GA,13002,2.47,11.05,27.67,11.56,6.1,44335,20519,481,3.73,2.21,2.63,75.34,0,0,0,0,0,0,13,60.9,95,445.03,60.9,2243.88
Jeffersontownship,NJ,17825,2.82,12.38,24.91,11.1,7.36,48889,19810,431,2.43,5.05,2.94,74.05,0,0,0,0,1,5.42,12,64.99,81,438.67,70.4,1348.5
StevensPointcity,WI,23006,2.79,25.97,45.62,33.52,11.04,22194,10282,4265,21.61,11.51,5.96,56.4,1,4.66,9,41.98,0,0,42,195.9,157,732.28,242.54,6436.57
Woodlandcity,CA,39802,2.8,13.77,26.89,12.18,9.84,31671,13854,3727,9.59,10.84,7.85,64.24,2,4.65,29,67.42,32,74.4,184,427.78,483,1122.92,574.24,4296.38
NorthBrunswicktownship,NJ,31287,2.71,13.41,29.96,14.37,8.64,49900,21734,786,2.67,6.11,3.08,70.47,0,0,7,21.47,42,128.85,45,138.05,258,791.48,288.37,3647.57
Springfieldcity,OH,70487,2.59,16.05,28.26,15.37,13.59,21407,10648,13999,20.87,9.79,8.74,53.25,6,8.49,59,83.45,208,294.21,786,1111.77,963,1362.13,1497.92,7742.79
Richfieldcity,MN,35710,2.3,10.55,26.37,12.16,15.75,32405,15992,1969,5.55,4.34,3.61,68.81,0,0,,,39,112.22,69,198.54,372,1070.38,,4805.2
Corsicanacity,TX,22911,2.67,15.84,27.12,14.35,15.63,21238,10954,4578,21.04,16.58,8.15,53.5,0,0,28,119.98,38,162.83,93,398.51,383,1641.17,681.32,7241.72
Wabashcity,IN,12127,2.58,13.14,25.76,12.72,13.9,25141,11170,1382,11.79,10.91,6.72,61.21,0,0,2,16.18,1,8.09,21,169.92,73,590.66,194.19,2330.29
Woostercity,OH,22191,2.58,18.31,29.7,18.07,12.58,27148,14283,2603,12.69,6.41,5.93,60.43,0,0,8,35.33,7,30.91,27,119.24,147,649.18,185.48,3978.98
LosAngelescity,CA,3485398,2.86,14.46,31.22,15.72,8.96,30925,16188,643809,18.86,18.4,8.34,61.71,1076,31.04,1773,51.15,38415,1108.27,42437,1224.31,50232,1449.19,2414.77,6756.86
Harrisontown,NJ,13425,2.76,12.86,28.54,12.71,12.48,33969,13763,1515,11.55,22.09,7.53,61.36,0,0,5,37.76,33,249.24,39,294.56,168,1268.88,581.57,5188.82
Swanseatown,MA,15411,2.93,15.41,25.59,13.55,12.51,40117,15100,750,4.92,12.11,4.6,66.63,0,0,0,0,16,98.5,16,98.5,20,123.12,197,2074.61
Superiorcity,WI,27134,2.47,14.51,26.47,13.78,15.12,20905,10769,4450,17.1,8.04,9.73,54.86,1,3.6,17,61.22,15,54.02,43,154.85,347,1249.64,273.7,6766.78
Monroecity,MI,22902,2.72,13.85,26.44,12.6,12.96,29088,13146,3443,15.39,12.86,7.38,53.96,0,0,,,22,93.43,94,399.2,200,849.37,,4272.31
Madisontownship,OH,18749,2.9,15.51,27.09,13.29,8.64,35575,13384,762,4.1,4.85,4.98,67.86,0,0,5,23.62,2,9.45,44,207.85,88,415.7,240.92,2078.51
Seasidecity,CA,38901,3.66,20.34,40.78,24.43,5.07,28655,10409,4019,12.22,9.54,4.37,74.2,6,18.55,9,27.82,121,374.07,215,664.67,218,673.94,1085.11,3610.84
Grapevinecity,TX,29202,2.66,12.38,26.09,10.8,3.93,48901,19526,1226,4.24,3.09,3.09,77.58,0,0,16,42.82,15,40.14,78,208.73,210,561.96,291.69,2860.66
Columbiacity,MO,69101,2.67,26.06,45.3,32.02,7.48,22059,12452,13195,22.42,5.02,4.91,60.7,1,1.34,30,40.15,108,144.55,300,401.52,571,764.22,587.55,5753.71
Lebanoncity,OR,10950,2.53,13.39,24.58,11.73,16.48,20711,10113,1991,18.76,9.34,10.38,51.94,0,0,1,8.34,2,16.68,75,625.47,133,1109.17,650.49,9215.24
WestChesterborough,PA,18041,2.95,29.24,49.7,36.51,8.79,31262,13082,2529,17.07,6.38,5.7,64.4,0,0,4,21.17,29,153.46,55,291.04,118,624.4,465.66,4402.58
Eatontownborough,NJ,13800,2.54,12.83,29.41,14.12,9.56,36864,17679,672,5.14,5.91,4.16,70.74,0,0,0,0,13,99.36,16,122.29,74,565.58,221.64,5411.19
Parkersburgcity,WV,33862,2.34,12.47,23.71,11.54,17.41,20461,11269,6308,18.99,13.76,8.01,50.9,3,9.03,12,36.13,18,54.2,39,117.43,347,1044.87,216.8,3824.15
Spokanecity,WA,177196,2.36,13.38,26.71,13.31,14.25,22192,12375,29863,17.34,5.74,8.12,55.06,13,6.63,112,57.16,354,180.65,1079,550.63,2699,1377.35,795.08,7383.29
