Price,Area,Location,No_of_Bedrooms
29300000,950,Anekal City,2
4372000,645,Anekal City,1
4664000,1025,Anekal City,2
6498000,1025,Anekal City,2
5118000,1025,Anekal City,2
7575000,1025,Anekal City,2
9369000,1735,Anjanapura,3
9369000,1735,Anjanapura,3
9369000,1735,Anjanapura,3
9180000,1700,Anjanapura,3
9369000,1735,Anjanapura,3
8073000,1495,Anjanapura,3
9180000,1700,Anjanapura,3
7177000,1375,Anjanapura,2
6831999,1309,Anjanapura,2
6138000,1176,Anjanapura,2
7151000,1370,Anjanapura,2
9620000,1843,Anjanapura,3
6890000,1320,Anjanapura,2
9610000,1841,Anjanapura,3
10100000,1950,Anjanapura,3
8137000,1559,Anjanapura,3
7819000,1498,Anjanapura,3
9396000,1800,Anjanapura,3
8712000,1669,Anjanapura,3
6994000,1340,Anjanapura,2
6989000,1339,Anjanapura,2
8649000,1657,Anjanapura,3
9709000,1860,Anjanapura,3
8665000,1660,Anjanapura,3
9385000,1798,Anjanapura,3
6953000,1332,Anjanapura,2
8691000,1665,Anjanapura,3
4500000,1140,Anjanapura,2
4399000,1140,Anjanapura,2
7500000,1390,Anjanapura,3
4700000,1140,Anjanapura,2
6000000,1140,Anjanapura,2
4700000,1360,Anjanapura,3
4400000,1140,Anjanapura,2
4400000,1140,Anjanapura,2
4700000,1140,Anjanapura,2
9401000,1140,Anjanapura,2
8209000,1140,Anjanapura,2
6659999,1657,Anjanapura,3
8087000,1860,Anjanapura,3
6213000,1660,Anjanapura,3
7840000,1798,Anjanapura,3
8897000,1332,Anjanapura,2
7262000,1665,Anjanapura,3
5500000,692,Anjanapura Township,3
4600000,692,Anjanapura Township,3
7100000,1150,Annapurneshwari Nagar,1
10000000,1100,Annapurneshwari Nagar,1
5900000,1580,Armane Nagar,3
6626000,1580,Armane Nagar,3
11500000,1580,Armane Nagar,3
4144000,7000,Ashok Nagar,4
3692000,7000,Ashok Nagar,4
4600000,1800,Ashoka Road,3
10800000,2043,Ashwathkatte Road,3
3038000,1085,Attibele,2
2520000,900,Attibele,2
3304000,1180,Attibele,3
3010000,1075,Attibele,3
2800000,1000,Attibele,2
2464000,880,Attibele,2
3682000,1473,Attibele,3
3427000,1371,Attibele,3
3932000,1573,Attibele,3
3822000,1529,Attibele,3
2487000,995,Attibele,2
2935000,1174,Attibele,2
4097000,1639,Attibele,3
3202000,1281,Attibele,2
2867000,1147,Attibele,2
3411999,1365,Attibele,3
3010000,1075,Attibele,3
3010000,1075,Attibele,3
2436000,870,Attibele,2
2800000,1000,Attibele,2
3388000,1210,Attibele,3
2520000,900,Attibele,2
3038000,1085,Attibele,2
2464000,880,Attibele,2
2800000,1000,Attibele,1
3010000,1075,Attibele,3
2436000,870,Attibele,2
2800000,1000,Attibele,2
3388000,1210,Attibele,3
2520000,900,Attibele,2
3304000,1180,Attibele,3
3038000,1085,Attibele,2
2464000,880,Attibele,2
2400000,1573,Attibele,3
3900000,994,Attibele,2
2900000,1573,Attibele,3
2400000,1174,Attibele,2
3700000,995,Attibele,2
3200000,1473,Attibele,3
5000000,1281,Attibele,2
3900000,1639,Attibele,3
2400000,1574,Attibele,3
4600000,994,Attibele,2
3800000,1640,Attibele,3
3600000,1529,Attibele,3
3400000,1473,Attibele,3
3200000,1371,Attibele,3
3200000,1281,Attibele,2
2400000,1281,Attibele,2
2900000,995,Attibele,2
2400000,1174,Attibele,2
2500000,994,Attibele,2
2500000,995,Attibele,2
6200000,994,Attibele,2
7500000,994,Attibele,2
3900000,1639,Attibele,3
3800000,1573,Attibele,3
2900000,1529,Attibele,2
2400000,1174,Attibele,2
3200000,995,Attibele,2
34500000,1281,Attibele,2
3900000,1639,Attibele,3
4600000,1529,Attibele,3
9000000,779,Attibele,2
2899000,924,Attibele,3
2899000,779,Attibele,2
4146000,779,Attibele,2
7840000,779,Attibele,2
2288000,779,Attibele,2
5070000,779,Attibele,2
3045000,779,Attibele,2
5947000,924,Attibele,3
3482000,924,Attibele,3
25000000,924,Attibele,3
7998999,924,Attibele,3
3859000,779,Attibele,2
4237000,924,Attibele,3
3100000,926,Attibele,3
2848000,928,Attibele,3
7208000,924,Attibele,3
8400000,924,Attibele,3
8400000,779,Attibele,2
6625000,924,Attibele,3
3475000,924,Attibele,3
4057000,924,Attibele,3
3100000,924,Attibele,3
7000000,924,Attibele,3
2848000,924,Attibele,3
3261999,924,Attibele,3
45000000,924,Attibele,3
8081999,925,Attibele,3
6043000,924,Attibele,3
4144000,918,Attibele,3
23000000,924,Attibele,3
4057000,923,Attibele,3
2288000,924,Attibele,3
3800000,924,Attibele,3
3900000,924,Attibele,3
3900000,924,Attibele,3
3900000,924,Attibele,3
5256000,1573,Attibele,3
7840000,924,Attibele,3
6858000,925,Attibele,3
2288000,924,Attibele,3
3806000,924,Attibele,3
3650000,779,Attibele,2
3859000,929,Attibele,3
3311999,931,Attibele,3
2500000,924,Attibele,3
3400000,928,Attibele,3
8000000,924,Attibele,3
28000000,924,Attibele,3
2975000,924,Attibele,3
2355000,924,Attibele,3
30000000,924,Attibele,3
2700000,924,Attibele,3
4176000,924,Attibele,3
5750000,924,Attibele,3
7020000,924,Attibele,3
11800000,924,Attibele,3
4070000,779,Attibele,2
5248000,922,Attibele,3
5301000,921,Attibele,3
3859000,927,Attibele,3
4864000,920,Attibele,3
6500000,926,Attibele,3
4492000,924,Attibele,3
15200000,924,Attibele,3
6094000,924,Attibele,3
3100000,924,Attibele,3
2745000,924,Attibele,3
3859000,924,Attibele,3
7300000,924,Attibele,3
5750000,924,Attibele,3
2900000,919,Attibele,3
2288000,930,Attibele,3
4240000,924,Attibele,3
5664000,924,Attibele,3
23400000,779,Attibele,2
10600000,779,Attibele,2
6597000,779,Attibele,2
5487000,779,Attibele,2
5244000,779,Attibele,2
4948000,779,Attibele,2
4198000,779,Attibele,2
11000000,779,Attibele,2
11000000,779,Attibele,2
19100000,779,Attibele,2
16000000,779,Attibele,2
11700000,779,Attibele,2
2745000,924,Attibele,3
8500000,1616,Avalahalli Off Sarjapur Road,3
6950000,1392,Avalahalli Off Sarjapur Road,2
6711000,1320,Avalahalli Off Sarjapur Road,3
4209000,771,Avalahalli Off Sarjapur Road,1
5478000,1128,Avalahalli Off Sarjapur Road,2
3267000,568,Avalahalli Off Sarjapur Road,1
11100000,2221,Avalahalli Off Sarjapur Road,4
6731000,1268,Avalahalli Off Sarjapur Road,2
6385000,1272,Avalahalli Off Sarjapur Road,2
10800000,2147,Avalahalli Off Sarjapur Road,4
17100000,1618,Avalahalli Off Sarjapur Road,3
6711000,1392,Avalahalli Off Sarjapur Road,2
4209000,1320,Avalahalli Off Sarjapur Road,3
5478000,771,Avalahalli Off Sarjapur Road,1
3267000,1128,Avalahalli Off Sarjapur Road,2
11100000,568,Avalahalli Off Sarjapur Road,1
6731000,2221,Avalahalli Off Sarjapur Road,4
6385000,1268,Avalahalli Off Sarjapur Road,2
10800000,1272,Avalahalli Off Sarjapur Road,2
6023000,2147,Avalahalli Off Sarjapur Road,4
5478000,771,Avalahalli Off Sarjapur Road,1
3267000,1128,Avalahalli Off Sarjapur Road,2
6731000,568,Avalahalli Off Sarjapur Road,1
8378000,1268,Avalahalli Off Sarjapur Road,2
16399999,1268,Avalahalli Off Sarjapur Road,2
9732000,2221,Avalahalli Off Sarjapur Road,4
10800000,1272,Avalahalli Off Sarjapur Road,2
7062000,2147,Avalahalli Off Sarjapur Road,4
7368000,1392,Avalahalli Off Sarjapur Road,2
7368000,1320,Avalahalli Off Sarjapur Road,3
8148000,1320,Avalahalli Off Sarjapur Road,3
3621000,1070,Avalahalli Off Sarjapur Road,2
7698999,1065,Avalahalli Off Sarjapur Road,2
5447000,967,Avalahalli Off Sarjapur Road,3
5612000,742,Avalahalli Off Sarjapur Road,2
6913000,758,Avalahalli Off Sarjapur Road,2
6519000,982,Avalahalli Off Sarjapur Road,3
9148000,916,Avalahalli Off Sarjapur Road,3
5447000,967,Avalahalli Off Sarjapur Road,3
5612000,742,Avalahalli Off Sarjapur Road,2
6913000,758,Avalahalli Off Sarjapur Road,2
6519000,982,Avalahalli Off Sarjapur Road,3
9148000,916,Avalahalli Off Sarjapur Road,3
7040000,1616,Avalahalli Off Sarjapur Road,2
5800000,941,Avalahalli Off Sarjapur Road,2
4239000,1179,Avalahalli Off Sarjapur Road,2
3456000,1309,Avalahalli Off Sarjapur Road,3
3447000,1079,Avalahalli Off Sarjapur Road,2
3440999,1143,Avalahalli Off Sarjapur Road,2
3585000,1089,Avalahalli Off Sarjapur Road,2
3189000,1413,Avalahalli Off Sarjapur Road,3
3768000,1152,Avalahalli Off Sarjapur Road,2
4995000,1149,Avalahalli Off Sarjapur Road,2
9000000,1147,Avalahalli Off Sarjapur Road,2
4057000,1195,Avalahalli Off Sarjapur Road,2
23000000,1063,Avalahalli Off Sarjapur Road,2
32000000,1256,Avalahalli Off Sarjapur Road,2
2999000,1665,Avalahalli Off Sarjapur Road,3
6998999,1284,Avalahalli Off Sarjapur Road,2
3100000,1535,Babusa Palya,2
4305000,1535,Babusa Palya,2
12000000,1183,Babusa Palya,2
4133000,1410,Babusa Palya,3
6094000,1406,Babusa Palya,3
3123000,1585,Babusa Palya,3
3100000,1535,Babusa Palya,2
6500000,1535,Babusa Palya,2
3800000,1140,Babusa Palya,2
5814000,1200,Babusa Palya,2
4050000,1140,Babusa Palya,2
5000000,1535,Babusa Palya,2
8120000,1190,Babusa Palya,2
4000000,1535,Babusa Palya,2
7468000,1140,Babusa Palya,2
4190000,1209,Babusabpalya,2
7840000,1193,Babusabpalya,2
3800000,1188,Babusabpalya,2
5500000,1076,Babusabpalya,2
6584999,1419,Badamanavarthekaval,2
6300000,1100,Badamanavarthekaval,2
4450000,1090,Bagalur,2
3180000,1000,Bagalur,2
8400000,1480,Bagalur,3
2899000,1480,Bagalur,3
6000000,1155,Bagalur,2
5848000,1260,Bagalur,2
3080000,1144,Bagalur,2
3045000,1166,Bagalur,2
6528000,551,Bagalur,1
4916000,1030,Bagaluru,2
3086000,1025,Bagaluru,2
9700000,1815,Bagaluru,3
5803000,1800,Bagaluru,3
39900000,1028,Bagaluru,2
4133000,1020,Bagaluru,2
39000000,1805,Bagaluru,3
5400000,1810,Bagaluru,3
26500000,1792,Bagaluru Near Yelahanka,3
4900000,2145,Bagaluru Near Yelahanka,3
3859000,1701,Bagaluru Near Yelahanka,3
9500000,1792,Bagaluru Near Yelahanka,3
5273000,2003,Bagaluru Near Yelahanka,3
2922000,1859,Bagaluru Near Yelahanka,3
7498999,2005,Bagaluru Near Yelahanka,3
40199999,1792,Bagaluru Near Yelahanka,3
5143000,2145,Bagaluru Near Yelahanka,3
23100000,2480,Banashankari,3
28300000,3033,Banashankari,4
21400000,2378,Banashankari,3
23500000,2522,Banashankari,3
29900000,3205,Banashankari,4
29900000,3205,Banashankari,4
28300000,3033,Banashankari,4
23500000,2522,Banashankari,3
23100000,2480,Banashankari,3
21400000,2378,Banashankari,3
5100000,1340,Banashankari,3
4600000,1340,Banashankari,3
2100000,2814,Banashankari,4
22500000,2560,Banashankari,3
6859999,1332,Banashankari,3
7165000,980,Banashankari,2
16500000,1400,Banashankari,3
7145000,1300,Banashankari,3
5710000,2130,Banashankari,3
21500000,1900,Banashankari,3
9324000,1335,Banashankari,2
9324000,1332,Banashankari,2
9324000,1331,Banashankari,2
4806000,1334,Banashankari,2
6700000,1333,Banashankari,2
6859999,979,Banashankari,2
5900000,982,Banashankari,2
5900000,981,Banashankari,2
5900000,978,Banashankari,2
9300000,980,Banashankari,2
9324000,1335,Banashankari,3
9324000,1335,Banashankari,2
6859999,1336,Banashankari,2
9324000,980,Banashankari,2
5900000,1338,Banashankari,2
9324000,981,Banashankari,2
6859999,1326,Banashankari,3
6859999,982,Banashankari,2
6859999,982,Banashankari,2
9324000,979,Banashankari,2
6859999,1333,Banashankari,3
9345000,985,Banashankari,2
6859999,1339,Banashankari,2
9324000,982,Banashankari,2
6859999,1335,Banashankari,3
6859999,982,Banashankari,2
9324000,980,Banashankari,2
5500000,1333,Banashankari,2
28900000,3033,Banashankari,4
21400000,3205,Banashankari,4
12500000,2376,Banashankari,3
21400000,3024,Banashankari,4
21400000,2376,Banashankari,3
22700000,2376,Banashankari,3
22400000,2522,Banashankari,3
61700000,2480,Banashankari,3
27300000,2480,Banashankari,3
61700000,3024,Banashankari,4
21400000,2522,Banashankari,3
21500000,2376,Banashankari,3
7600000,2378,Banashankari,3
5045000,2376,Banashankari,3
5258000,3033,Banashankari,4
4695000,2522,Banashankari,3
6363000,3205,Banashankari,4
18800000,2480,Banashankari,3
5004000,1040,Banashankari,2
41600000,3033,Banashankari,4
20900000,2378,Banashankari,3
7651000,2522,Banashankari,3
9795000,3205,Banashankari,4
13700000,2480,Banashankari,3
13700000,2480,Banashankari,3
29900000,2378,Banashankari,3
4948000,2376,Banashankari,3
35500000,1500,Banashankari 5th stage,3
3900000,1400,Banashankari 5th stage,3
38500000,1450,Banashankari 5th stage,3
7950000,1100,Banashankari Stage III,2
7506999,1155,Banaswadi,2
6531999,1005,Banaswadi,2
9457000,1455,Banaswadi,3
9035000,1390,Banaswadi,3
6662000,1025,Banaswadi,2
7181999,1105,Banaswadi,2
7377000,1135,Banaswadi,2
9685000,1160,Banaswadi,2
7150000,1490,Banaswadi,3
5150000,1100,Banaswadi,2
5175000,1110,Banaswadi,2
3195000,1150,Banaswadi,3
4950000,710,Banaswadi,2
5107000,1100,Banaswadi,2
22000000,1135,Banaswadi,3
7505000,1800,Banaswadi,3
5200000,1800,Banaswadi,3
7456000,1252,Banaswadi,2
4700000,1312,Banaswadi,2
12100000,2330,Banaswadi,3
5800000,1360,Banaswadi,3
8000000,2500,Banaswadi,3
4133000,1875,Banaswadi,3
5520000,1120,Banaswadi,2
3600000,1875,Banaswadi,3
4133000,1100,Banaswadi,2
5383000,1185,Banaswadi,2
5100000,1159,Bangalore Road,2
18100000,1201,Bangalore Road,2
5200000,838,Bannerghatta,2
8200000,720,Bannerghatta,1
4320000,1000,Bannerghatta Main Road,2
58000000,1000,Bannerghatta Road Jigani,2
17200000,1776,Bannerughatta,3
31000000,1212,Bannerughatta,2
3744000,1060,Basapura Main Road,2
5900000,1500,Basavanagudi,3
74300000,3357,Basavanagudi,4
97600000,3558,Basavanagudi,4
28000000,3381,Basavanagudi,4
47500000,3505,Basavanagudi,4
5535000,1315,Basaveswarnagar,3
5242000,1120,Basaveswarnagar,2
5152000,1425,Basaveswarnagar,3
5422000,1090,Basaveswarnagar,2
5175000,1560,Basaveswarnagar,3
5062000,1230,Basaveswarnagar,2
7155000,1165,Basaveswarnagar,2
5107000,1145,Basaveswarnagar,2
5040000,1205,Basaveswarnagar,2
6345000,1150,Basaveswarnagar,2
3030000,1125,Basaveswarnagar,2
5989000,1590,Basaveswarnagar,3
29000000,1135,Basaveswarnagar,2
5782000,740,Basaveswarnagar,1
4995000,1110,Basaveswarnagar,2
4702000,1050,Basaveswarnagar,2
5805000,1670,Basaveswarnagar,3
4635000,1535,Basaveswarnagar,3
7581999,1075,Basaveswarnagar,2
6120000,1285,Basaveswarnagar,2
4400000,1119,Battarahalli,2
6500000,1119,Battarahalli,2
13700000,1119,Battarahalli,2
4948000,1119,Battarahalli,2
4948000,1119,Battarahalli,2
5200000,1119,Battarahalli,2
4900000,1187,Begur,2
4900000,1187,Begur,2
8868000,1245,Begur,2
5426000,1080,Begur,2
11000000,1805,Begur,3
11399999,1880,Begur,3
13000000,2180,Begur,4
11299999,1850,Begur,3
4500000,1097,Begur,2
9060000,1275,Begur,2
8644000,1210,Begur,2
8836000,1240,Begur,2
10200000,1450,Begur,3
8528000,1192,Begur,2
8516000,1190,Begur,2
8804000,1235,Begur,2
9910000,1400,Begur,3
5700000,1140,Begur,2
6000000,1220,Begur,2
5755000,1150,Begur,2
6695000,1350,Begur,3
5896000,1180,Begur,2
5600000,1130,Begur,2
5800000,1160,Begur,2
6577000,1325,Begur,3
5473000,1090,Begur,2
5849000,1170,Begur,2
5825000,1165,Begur,2
5800000,1160,Begur,2
10800000,1745,Begur,3
8868000,1417,Begur,2
11399999,1814,Begur,3
9366000,1503,Begur,2
11299999,2180,Begur,4
11299999,2180,Begur,4
9516000,1830,Begur,4
10100000,1960,Begur,3
7331999,1410,Begur,3
9802000,1885,Begur,2
6526000,1255,Begur,2
6526000,1255,Begur,2
11000000,1805,Begur,3
11000000,1805,Begur,3
11500000,1476,Begur,3
12500000,1527,Begur,3
10500000,1265,Begur,3
7223999,1720,Begur,3
5552000,1322,Begur,2
5166000,1230,Begur,2
69000000,1438,Begur,3
6417000,1337,Begur,3
4569000,952,Begur,2
6459999,1346,Begur,3
6656999,1387,Begur,3
6523000,1359,Begur,3
6230000,1298,Begur,3
4972000,1036,Begur,2
4785000,997,Begur,2
6720000,1400,Begur,3
13700000,2424,Begur,4
9240000,1653,Begur,3
7180000,1235,Begur,2
3940000,644,Begur,1
2920000,677,Begur,1
2157000,525,Begur,1
5426000,1080,Begur,2
6830000,1198,Begur,2
6750000,1198,Begur,2
6800000,1197,Begur,2
7600000,1241,Begur,2
7300000,1232,Begur,2
7450000,1221,Begur,2
7300000,1220,Begur,2
7000000,1210,Begur,2
7950000,1375,Begur,3
8350000,1368,Begur,3
8250000,1375,Begur,3
8050000,1368,Begur,3
7800000,1366,Begur,3
7800000,1358,Begur,3
7800000,1241,Begur,2
7450000,1232,Begur,2
4600000,1097,Begur,2
4500000,1076,Begur,2
5150000,1235,Begur,2
9335000,1476,Begur,3
8001000,1265,Begur,3
9658000,1527,Begur,3
4500000,1076,Begur,2
4600000,1097,Begur,2
4550000,1076,Begur,2
5150000,1235,Begur,2
4700000,1124,Begur,1
4560000,1076,Begur,2
4635000,1097,Begur,2
4300000,1076,Begur,2
4940000,1576,Begur,3
6600000,1235,Begur,2
4670000,1576,Begur,3
5690000,1610,Begur,3
6650000,1610,Begur,3
7540000,1610,Begur,3
6555000,1235,Begur,2
7500000,1576,Begur,3
9640000,1759,Begur,3
9240000,1728,Begur,3
9140000,1653,Begur,3
9120000,1634,Begur,3
9020000,1631,Begur,3
8940000,1614,Begur,3
7950000,1598,Begur,3
7940000,1376,Begur,2
7930000,1375,Begur,2
7900000,1372,Begur,2
7850000,1368,Begur,2
7050000,1358,Begur,2
7180000,1210,Begur,2
7220000,1235,Begur,2
7140000,1241,Begur,2
3940000,1227,Begur,2
7900000,644,Begur,1
7100000,1368,Begur,2
6980000,1220,Begur,2
3940000,1197,Begur,2
12600000,644,Begur,1
16900000,1510,Begur,3
3900000,1903,Begur,3
7972000,1906,Begur,3
13000000,1880,Begur,3
11000000,2180,Begur,4
11299999,1805,Begur,3
5810000,1850,Begur,3
29900000,1770,Begur,3
16900000,1510,Begur,3
16900000,1903,Begur,3
13400000,1903,Begur,3
16900000,1510,Begur,3
39500000,1903,Begur,3
7020000,1510,Begur,3
4700000,1903,Begur,3
7020000,1510,Begur,3
4700000,1903,Begur,3
16299999,1906,Begur,3
9551000,1906,Begur,3
16299999,1906,Begur,3
16299999,1906,Begur,3
9551000,1906,Begur,3
6959999,1195,Begur,2
4900000,1412,Begur,3
41000000,1412,Begur,3
3120000,1412,Begur,3
3800000,1076,Begur,2
6700000,1086,Begur,2
3800000,1375,Begur,3
2288000,1230,Begur,2
3800000,1223,Begur,2
3600000,1230,Begur,2
5460000,1230,Begur,2
9359000,1015,Begur,2
3030000,1065,Begur,2
6043000,1223,Begur,2
49100000,1350,Begur,2
6813000,1450,Begur,3
7838000,1487,Begur,3
6513000,1024,Begur,2
4649000,1077,Begur,2
6618000,1207,Begur,2
6628000,1490,Begur,3
5063000,1363,Begur,3
3900000,1568,Begur,3
6600000,1303,Begur,3
3650000,930,Begur,2
8700000,1324,Begur,3
4900000,1326,Begur,3
2150000,1013,Begur,2
3030000,1476,Begur,3
8116000,1410,Begur,3
8583000,1493,Begur,2
8499000,1417,Begur,2
10100000,1416,Begur,2
7984999,1814,Begur,3
10100000,1813,Begur,3
8256000,1503,Begur,2
28400000,1410,Begur,3
10800000,1305,Begur,2
13300000,1830,Begur,3
4479000,1230,Begur Road,2
3496000,874,Begur Road,2
4050000,955,Begur Road,2
8700000,1225,Begur Road,3
4864000,838,Begur Road,2
7209999,1311,Bellandur,3
7209999,1311,Bellandur,3
7209999,1311,Bellandur,3
7012000,1275,Bellandur,3
8195000,1490,Bellandur,3
7200000,1195,Bellandur,2
27400000,2187,Bellandur,4
15000000,1196,Bellandur,2
